n.pgr;Nome Istituto;codice;Centro di costo;codice;Denominazione intervento;Determina;Tipologia di intervento;Manutenzioni;Stato della procedura;RUP;importo stanziato;importo stimato;Anno di riferimento;Data prevista inizio;Data prevista fine;Avviati?;PTLLPP;
076;SCU_018 - IST. AGRARIO BECCARIA - VIA CAGLIARI 47;SCU_019;;SCU_019_076;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
077;SCU_018 - IST. AGRARIO BECCARIA - VIA CAGLIARI 47;SCU_019;;SCU_019_077;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
078;SCU_018 - IST. AGRARIO BECCARIA - VIA CAGLIARI 47;SCU_019;;SCU_019_078;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
079;SCU_020 - IST. AGRARIO BECCARIA - LOCALITA STAZIONE;SCU_020;;SCU_020_079;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
080;SCU_020 - IST. AGRARIO BECCARIA - LOCALITA STAZIONE;SCU_020;;SCU_020_080;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
081;SCU_020 - IST. AGRARIO BECCARIA - LOCALITA STAZIONE;SCU_020;;SCU_020_081;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
082;SCU_021 - IST. NAUTICO - CORSO BATTELLIERI;SCU_021;;SCU_021_082;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
083;SCU_021 - IST. NAUTICO - CORSO BATTELLIERI;SCU_021;;SCU_021_083;"ADEGUAMENTO DEL PONTILE FISSO IN CEMENTO PER 
ALLINEAMENTO IN QUOTA COL PONTILE GALLEGGIANTE PRESSO IL CENTRO VELICO 
DELL’ISTITUTO GLOBALE DI CARLOFORTE – CIG B88AF49A78";Determina n.61 del 29/10/2025;Manutenzione straordinaria;FALSO;in corso;DG; € 2.720,03 ;;;;;;;
084;SCU_021 - IST. NAUTICO - CORSO BATTELLIERI;SCU_021;;SCU_021_084;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
085;SCU_021 - IST. NAUTICO - CORSO BATTELLIERI;SCU_021;;SCU_021_085;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
086;SCU_022 - NAUTICO SUCCURSALE - VIALE OSSERVATORIO;SCU_022;;SCU_022_086;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
087;SCU_022 - NAUTICO SUCCURSALE - VIALE OSSERVATORIO;SCU_022;;SCU_022_087;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
088;SCU_022 - NAUTICO SUCCURSALE - VIALE OSSERVATORIO;SCU_022;;SCU_022_088;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
089;SCU_008 - LICEO SCIENTIFICO ASPRONI - (Fabbr. 2) LOCALITA SU PARDU;SCU_008;;SCU_008_089;"lavori urgenti di risanamento delle 
coperture dell'I.I.S. ""Asproni - Fermi"" sito in Iglesias, via Giovanni Falcone n. 7 (codice ARES: 
1110351218), CUP: H22B25005860005,";;Manutenzione straordinaria;FALSO;in corso;DG; € 600.000,00 ;;;;;;;
090;SEDI ISTITUTI SCOLASTICI PROVINCIA;EDI_001;;EDI_001_090;"Accordo Quadro manutenzione degli edifici scolastici e delle sedi amministrative della Provincia 
del Sulcis Iglesiente - Annualità 2026";Determina n.42 del 13/03/2026;Manutenzione straordinaria;FALSO;in corso;RO; € 134.930,00 ;;;;;;;
091;SCU_007 - LICEO SCIENTIFICO ASPRONI - (Fabbr. 1) LOCALITA SU PARDU;SCU_007;;SCU_007_091;"SERVIZIO DI MANUTENZIONE E MESSA IN SICUREZZA, SOSTITUZIONE  
INFISSI I.I.S.  G. ASPRONI   LOC. SU PARDU 1 (SEDE CENTRALE) E LOC. SU PARDU 2 (SUCCURSALE) 
IGLESIAS  CIG B9845DCABB";Determina n.103 del 22/12/2025;Accordo/Servizio;VERO;in corso;DG; € 40.850,00 ;;;;;;;
092;SCU_010 - IST. ANGIOY - VIA COSTITUENTE;SCU_010;;SCU_010_092;"FONDI PNRR 
M.4C.1I.3.3 LAVORI DI MANUTENZIONE STRAORDINARIA E ADEGUAMENTO NORMATIVO DEL I.I.S. G.M. 
ANGIOY DI CARBONIA - SERVIZIO DI CLASSIFICAZIONE DEL RISCHIO SISMICO";Determina n.122 del 31/12/2025;Progettazione;FALSO;in corso;AS; € 55.625,00 ;;;;;;;
093;SCU_008 - LICEO SCIENTIFICO ASPRONI - (Fabbr. 2) LOCALITA SU PARDU;SCU_008;;SCU_008_093;Azione 1.1 Promozione dell'uso delle energie rinnovabile programma JTF;Determina n.102 del 19/12/2025;Progettazione;FALSO;in corso;GF; € 30.394,94 ;;;;;;;
094;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_094;Azione 1.1 Promozione dell'uso delle energie rinnovabile programma JTF;Determina n.102 del 19/12/2025;Progettazione;FALSO;in corso;GF; € 42.924,18 ;;;;;;;
095;SEDE PROVINCIA VIA MAZZINI;EDI_000;;EDI_000_095;Azione 1.1 Promozione dell'uso delle energie rinnovabile programma JTF;Convenzione RAS;Lavori;FALSO;da avviare;GF; € 84.545,00 ;;;;;;;
096;SEDE PROVINCIA VIA MAZZINI;EDI_000;;EDI_000_096;Azione 1.1 Promozione dell'uso delle energie rinnovabile programma JTF;Determina n.102 del 19/12/2025;Progettazione;VERO;in corso;GF; € 17.534,57 ;;;;;;;
097;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_097;Azione 1.1 Promozione dell'uso delle energie rinnovabile programma JTF;Convenzione RAS;Lavori+Progettazione;FALSO;da avviare;GF; € 698.743,14 ;;;;;;;
098;SEDE PROVINCIA VIA MAZZINI;EDI_000;;EDI_000_098;Ripristino non conformità impianti elettrici di messa a terra;Procedura CAT avviata;Lavori;FALSO;da avviare;GF; € 7.500,00 ;;;;;;;
099;SCU_010 - IST. ANGIOY - VIA COSTITUENTE;SCU_010;;SCU_010_099;"PNRR M.4 C.1 I.3.3 - LAVORI DI MANUTENZIONE STRAORDINARIA E ADEGUAMENTO NORMATIVO DEL I.I.S. ""G.M. ANGIOY"" DI CARBONIA” - INTERVENTO FINANZIATO DALL'UNIONE EUROPEA NEXT GENERATION EU. CUP J58B20000360001";;Lavori;FALSO;in corso;AS; € 723.000,00 ;;;;;;;
100;SCU_021 - IST. NAUTICO - CORSO BATTELLIERI;SCU_021;;SCU_021_100;"PNRR M.4 C.1 I.3.3 - LAVORI DI MANUTENZIONE STRAORDINARIA E ADEGUAMENTO NORMATIVO DEL I.T.N. ""C. COLOMBO"" DI CARLOFORTE” - INTERVENTO FINANZIATO DALL’UNIONE EUROPEA NEXT GENERATION EU CUP J48B20001320001";;Lavori;FALSO;in corso;AS; € 968.000,00 ;;;;;;;
101;SCU_021 - IST. NAUTICO - CORSO BATTELLIERI;SCU_021;;SCU_021_101;"FONDI PNRR -  M.4 C.1 I. 3.3 - Lavori di messa in sicurezza e adeguamento sismico dell’Istituto Nautico ""C. Colombo"" di Carloforte - Intervento finanziato dall'Unione Europea Next Generation EU. CUP J55F22000460009";;Lavori;FALSO;in corso;AS; € 2.248.982,97 ;;;;;;;
102;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_102;PNRR M.4 C.1 I.1.3 - LAVORI DI COSTRUZIONE DI UNA PALESTRA A SERVIZIO DEL IIS “BECCARIA” DI CARBONIA. FINANZIATO DALL’UNIONE EUROPEA NEXT GENERATION EU. CUP J45E22000130006;;Lavori;FALSO;in corso;AS; € 3.310.000,00 ;;;;;;;
103;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_103;LAVORI DI MANUTENZIONE STRAORDINARIA E ADEGUAMENTO NORMATIVO DELL'I.I.S. GRAMSCI - AMALDI DI CARBONIA C.U.P. J48B20001330001 - INTERVENTO FINANZIATO DALL'UNIONE EUROPEA NEXT GENERATION EU;;Lavori;FALSO;in corso;AV; € 700.683,88 ;;;;;;;
104;SCU_002 - IPIA FERRARIS - VIA CANEPA 17;SCU_003;;SCU_003_104;"Lavori di manutenzione straordinaria e adeguamento normativo dell'I.P.S.I.A. ""FERRARIS"" di via Canepa ad Iglesias-Intervento finanziato dall'unione europea Next Generation Eu";;Lavori;FALSO;in corso;AV; € 938.000,00 ;;;;;;;
105;"SCU_018 - LICEO SCIENTIFICO ""LUSSU"" - VIA BOLZANO 50";SCU_018;;SCU_018_105;LAVORI DI MANUTENZIONE STRAORDINARIA E ADEGUAMENTO NORMATIVO LICEO E. LUSSU SANT'ANTIOCO;;Lavori;FALSO;in corso;DG; € 591.000,00 ;;;;;;;
106;EDI_008 CENTRO SPORTIVO POLIFUNZIONALE CERAMICA IGLESIA;EDI_008;;EDI_008_106;LAVORI DI RIQUALIFICAZIONE DELL’IMPIANTO SPORTIVO “CERAMICA” DI IGLESIAS;Determinazione n. 12 del 20/01/2026;Lavori;FALSO;in corso;AE; € 88.934,56 ;;;;;;;
107;EDI_008 CENTRO SPORTIVO POLIFUNZIONALE CERAMICA IGLESIA;EDI_008;;EDI_008_107;FSC 2014-2020. PIANO SPORT E PERIFERIE BANDO 2020. LAVORI DI COMPLETAMENTO E RIQUALIFICAZIONE DEL COMPLESSO SPORTIVO IN LOCALITÀ CERAMICA NEL COMUNE DI IGLESIAS - CUP J35I20000170004 - CIG 9572529CD1. ;;Lavori;FALSO;in corso;AS; € 1.142.932,13 ;;;;;;;
108;;;;_108;;;;;;;;;;;;;;
109;;;;;;;;;;;;;;;;;;
