n.pgr;Nome Istituto;codice;Centro di costo;codice;Denominazione intervento;Determina;Tipologia di intervento;Manutenzioni;Stato della procedura;RUP;importo stanziato;importo stimato;Anno di riferimento;Data prevista inizio;Data prevista fine;Avviati?;PTLLPP;
030;SCU_008 - LICEO SCIENTIFICO ASPRONI - (Fabbr. 2) LOCALITA SU PARDU;SCU_008;;SCU_008_030;PNRR M.4 C.1 I.1.3 - “LAVORI DI COSTRUZIONE DI UNA PALESTRA A SERVIZIO DELL’ISTITUTO DI ISTRUZIONE SUPERIORE “ASPRONI” IN LOCALITÀ SU PARDU 2 A IGLESIAS;Determina n. 469 del 25/09/2023;Lavori;FALSO;in corso;AE; € 3.200.000,00 ; € 2450000,00 +  € 750000,00 COFINANZ. ;;;;;;
031;SCU_008 - LICEO SCIENTIFICO ASPRONI - (Fabbr. 2) LOCALITA SU PARDU;SCU_008;;SCU_008_031;EDISU_20SCL01.03_ Interventi per l’adeguamento alla normativa antincendio, D.M. 30 giugno 2020, n.43. IIS “G.Asproni”, Loc. Su Pardu 2, Iglesias;Determina n. 237 del 21/06/2021;Manutenzione straordinaria;FALSO;in corso;AE; € 116.500,00 ;;;;;;;
032;SCU_009 - MINERARIO ASPRONI - VIALE ASPRONI;SCU_009;;SCU_009_032;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
033;SCU_009 - MINERARIO ASPRONI - VIALE ASPRONI;SCU_009;;SCU_009_033;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
034;SCU_009 - MINERARIO ASPRONI - VIALE ASPRONI;SCU_009;;SCU_009_034;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
035;SCU_010 - IST. ANGIOY - VIA COSTITUENTE;SCU_010;;SCU_010_035;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
036;SCU_010 - IST. ANGIOY - VIA COSTITUENTE;SCU_010;;SCU_010_036;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
037;SCU_010 - IST. ANGIOY - VIA COSTITUENTE;SCU_010;;SCU_010_037;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
038;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_038;Accordo Quadro per la manutenzione degli edifici scolastici e delle sedi amministrative del Sulcis Iglesiente;Determina n.95 del 11/12/2025;Manutenzione straordinaria;FALSO;in corso;DG; € 133.825,00 ;;;;;;;
039;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_039;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
040;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_040;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
041;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_041;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
042;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_042;Azione 1.1 Promozione dell'uso delle energie rinnovabile programma JTF;Convenzione RAS;Lavori;FALSO;da avviare;GF; € 275.050,00 ;;;;;;;
043;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_043;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
044;SCU_011 - IST. GRAMSCI - AMALDI - VIA DELLE CERNITRICI;SCU_011;;SCU_011_044;LAVORI DI MANUTENZIONE STRAORDINARIA E ADEGUAMENTO NORMATIVO DELL'I.I.S. GRAMSCI - AMALDI DI CARBONIA C.U.P. J48B20001330001 - INTERVENTO FINANZIATO DALL'UNIONE EUROPEA NEXT GENERATION EU;;Manutenzione straordinaria;FALSO;in corso;AV; € 700.683,88 ;;;;;;;
045;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_045;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
046;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_046;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
047;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_047;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
048;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_048;Azione 1.1 Promozione dell'uso delle energie rinnovabile programma JTF;Convenzione RAS;Lavori;FALSO;da avviare;GF; € 275.050,00 ;;;;;;;
049;SCU_012 - IST. GRAMSCI-AMALDI succursale - VIA BRIGATA SASSARI 35;SCU_012;;SCU_012_049;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
